,FL,Ins,CgG,HiF,PHG,OL,PL,TL,Amg,BF,GP,Str,Cl,ET,Hy,SbT,DT,VT,MES,CbCx,CbN,Bpons,PTg,MY,WM,SS,,,frontal lobe,FL
ASIP,"-0,074","-0,0528","0,4997","0,4398","1,2598","-0,12","-1,0603","-0,3157","1,3269","-0,6468","-0,2773","-0,6728","1,5143","2,1114","0,1678","-1,0156","0,0044","1,2544","0,2566","0,9268","0,1394","-1,3503","-2,2165","-0,1917","-0,2141","-1,6934",,,pontine tegmentum,PTg
,"-0,58415","-0,78935","-0,3157","0,3818","1,79435","-0,2897","-0,5385","-0,4013","-0,034","0,48165","-0,3675","-0,9415","-0,2833","-0,2367","0,09","0,60035","0,34545","0,8968","0,4646","0,6051","-0,62985","0,3665","-0,1134","0,2567","-0,48845","-1,6934",,,myelencephalon,MY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white matter,WM
CKMT2,"-0,7008","-0,9919","-0,7243","-0,7578","-1,0041","-0,5542","-0,6484","-0,9871","0,3795","0,2719","1,8976","0,2272","-0,6038","-1,2216","-0,676","1,5622","1,4088","0,7827","1,2473","-1,6984","1,3634","-0,4519","1,2538","0,6466","-0,0205",,,,sulci & spaces,SS
CKMT2,"-0,2286","-0,2502","-0,4306","-1,2334","-0,4139","-0,624","-0,4693","-0,4971","-0,1278","-0,3514","2,0003","0,3882","0,0833","-2,4364","-0,2482","1,6054","0,6043","0,808","0,9554","-1,9253","1,4838","-0,0648","1,0207","0,5816","-0,2301",,,,,
CKMT2,"-0,396","-0,6023","-0,3972","-1,3046","-0,7781","-0,6575","-0,3616","-0,508","-0,5202","-0,7764","2,0234","0,2236","-0,8096","-0,6833","-0,5849","1,2404","0,7887","0,6063","1,0001","-1,7981","0,5799","-0,048","0,3841","0,3287","0,1644",,,,,
CKMT2,"2,886","-0,3214","-0,4529","-0,2877","-1,4276","-0,2062","-0,1857","-0,0711","-0,475","-0,8349","-1,0861","1,605","0,4127","-0,2699","-1,1969","-1,1291","0,9557","0,2086","0,5362","0,7194","-1,8136","0,7774","0,1736","1,0904","0,5469","-0,2079",,,,
CKMT2,"2,9399","-0,9089","-0,7724","-0,9704","-1,2682","-1,064","-0,9141","-0,903","-0,9582","0,173","-0,6422","1,1767","-0,2063","-0,1363",,"-0,1294","1,0653","0,7068","1,2469","0,9855","-1,5132","1,8259","0,8833","1,4327","1,2842","-0,3937",,,,
CKMT2,"-0,5562","-0,7129","-0,5909","-1,2952","-0,6975","-0,8748","-0,7573","-0,7084","-0,1585","-0,5736","1,2543","-0,0037","-0,4864","0,4935","-0,3798","1,1634","0,2534","0,4805","0,8368","-1,7189","1,5224","-0,2953","0,8444","0,4956","-0,5802","3,0451",,,,
,"-0,3123","-0,6576","-0,5219","-1,1019","-0,8911","-0,64075","-0,55885","-0,6082","-0,31675","-0,4625","1,57595","0,3077","-0,34635","-0,4766","-0,5849","1,2019","0,8722","0,65655","0,97775","-1,70865","0,97165","-0,0564","0,86385","0,6141","0,07195","-0,2079",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAC2,"-0,0689","-0,6897","-0,2176","0,8163","-0,2637","-0,1073","-0,1553","-0,5772","1,0705","1,4973","0,1449","-2,3345","1,3294","-1,4177","0,4847","0,9616","1,3313","0,818","0,2276","-0,4229","1,2784","-1,224","0,0997","-0,8288","-1,7522",,,,,
CHAC2,"-0,6215","-0,6693","-0,8693","0,4769","-0,2741","-1,0487","-0,894","-0,7207","0,3579","1,0142","0,2679","-0,7843","-0,1564","1,163","1,8279","0,0973","1,049","1,526","-0,0298","-1,0321","-0,343","0,2811","1,6587","0,2902","-2,5671",,,,,
CHAC2,"0,7166","0,9692","0,8","-0,4797","0,971","0,2677","0,5866","1,0131","-1,2982","-0,6567","1,6303","-0,9005","-0,2331","-0,4441","0,5755","1,0747","0,9071","0,1196","-1,7611","0,2791","-1,8824","-0,5877","0,8485","0,1334","-2,2777",,,,,
CHAC2,"-0,3711","0,0496","-0,061","0,5489","0,7875","1,6388","-0,2834","0,327","0,5408","-1,016","0,2182","-1,6992","-1,4008","0,5566","0,1855","1,2924","1,1581","1,2662","-1,2285","-0,2621","1,0221","-0,0173","-0,0223","0,5127","-0,5379","-2,6394",,,,
CHAC2,"-0,9366","-0,2971","0,0182","-0,2471","-0,1952","0,2783","-0,9479","-0,165","-0,1936","2,4486","0,9685","-0,5489","-1,4446","0,3172",,"0,764","-1,1246","1,5331","-0,8395","0,3322","-0,7041","1,1728","0,0153","0,8129","0,4189","-2,3723",,,,
CHAC2,"-0,2512","-0,7532","-0,4182","0,2918","0,1296","-0,5371","-0,3821","-0,36","-0,0404","-0,0216","1,3863","-0,8336","0,9651","1,8258","0,0173","1,1226","1,3355","0,6222","0,1277","-0,4979","0,3076","0,3","0,7421","-0,3575","-1,3745","-3,3462",,,,
,"-0,31115","-0,4832","-0,1393","0,38435","-0,0328","0,0802","-0,33275","-0,2625","0,15875","0,4963","0,6182","-0,86705","-0,19475","0,4369","0,4847","1,01815","1,10355","1,0421","-0,43465","-0,3425","-0,0177","0,1319","0,4209","0,2118","-1,56335","-2,6394",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASGRF2,"0,8135","0,8012","0,6439","1,1924","0,3322","0,5548","0,8249","0,7143","1,809","0,0217","-0,4664","0,066","1,2226","-1,324","-1,0913","-0,5742","-1,0728","0,2062","-0,6123","-2,6095","-0,228","-1,4595","-0,5276","-0,2738","1,0366",,,,,
RASGRF2,"1,3481","1,4209","1,0071","0,8561","0,5764","0,783","1,003","1,1168","0,8249","-0,4237","-0,0363","0,2212","0,5239","-1,8025","-0,9275","-0,1893","-0,8684","0,359","-0,5895","-2,6912","-0,5431","-1,294","-0,3436","-0,5346","0,2034",,,,,
RASGRF2,"0,8323","0,7391","0,7126","1,068","0,3394","0,6807","0,7636","0,7456","1,2057","-0,4611","-0,2631","0,6086","1,0598","-1,0434","-0,5838","-0,4228","-0,9266","0,1239","-0,6915","-3,0346","-1,2649","-1,2621","-0,5214","-0,2232","0,2667",,,,,
RASGRF2,"1,5528","0,9677","0,9475","0,7222","0,9492","0,491","0,5745","0,9144","0,7993","1,0946","-0,527","-0,2462","0,3908","0,8815","-1,5165","-0,73","-0,2216","-1,2657","0,4274","-0,5566","-3,4127","-0,3765","-0,8008","-0,4673","-0,0703","0,3285",,,,
RASGRF2,"0,7025","1,1349","1,0904","0,9466","1,0196","0,8757","0,6408","0,8953","1,0488","0,5379","-0,2097","-0,5363","0,694","0,4225",,"0,0106","-1,2491","-1,1779","-0,2161","-0,4552","-2,7053","-0,6388","-1,891","-0,3247","-0,5106","0,5976",,,,
RASGRF2,"0,9513","0,9233","0,6166","1,0872","0,3941","0,5466","0,7008","0,8349","0,9305","-0,5525","0,236","0,4534","1,0007","-1,1692","-0,9307","-0,0629","-1,124","0,332","-0,6428","-3,1038","-0,7328","-1,6765","-0,396","-0,2151","0,5576","1,0415",,,,
,"0,8918","0,9455","0,83005","1,0073","0,48525","0,61775","0,7322","0,8651","0,98965","-0,201","-0,2364","0,1436","0,84735","-1,1063","-0,9307","-0,30605","-0,9997","0,16505","-0,6009","-2,65035","-0,99885","-1,27805","-0,5245","-0,29925","0,23505","0,5976",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
